year,SPDX,DOBG,IAT,AGDU,FFD,DOYX,TSNOW,SP,HI
1942,,99,,105, ,72,7.3,0,0.843478261
1943,,88,,112, ,,22.4,5,0.923809524
1944,5,93,16.4,118,129,,21.2,3,0.866071429
1945,,108,,99, ,,13.6,0,0.822033898
1946,,97,,104, ,,17.7,2,0.97979798
1947,,101,,122, ,,10.9,1,0.932692308
1948,22,93,9.5,115,142,,30.2,17,0.795081967
1949,,89,,109, ,,20,3,0.843478261
1950,,118,,138, ,,27.6,7,0.889908257
1951,,92,,122, ,,29.3,12,0.702898551
1952,,100,,117, ,,24.3,5,0.795081967
1953,,76,,122, ,,14.3,2,0.829059829
1954,,94,,113, ,,12.2,1,0.795081967
1955,,90,,107, ,,22.4,4,0.85840708
1956,,101,,132, ,,18.9,5,0.906542056
1957,,60,,114, ,,8.5,0,0.734848485
1958,,53,,100, ,,7.1,1,0.850877193
1959,,60,,110, ,,5.7,0,0.97
1960,3,95,6.3,121,133,,9.8,3,0.881818182
1961,,59,,111, ,,3.9,0,0.801652893
2012,0,72,25.5,83,95,,23.4,0,0.873873874
2013,15,116,15.1,132,138,,38.2,14,0.734848485
2014,,93,,117, ,,16.5,0,0.829059829
2015,,66,,99, ,,11.5,0,0.97979798
2016,0,51,31.8,97,109,,16.2,0,1
2017,,59,,98, ,,18.9,0,0.989795918
2018,7,105,17.1,124,123,,34.7,7.1,0.782258065
2019,22,105,5,117,116,,40.5,22,0.829059829
2020,6,98,17.8,120,122,,10.5,5,0.808333333
