year,SPDX,DOBG,AGDU,FFD,DOYX,TSNOW
1942,0,99,105,,,7.3
1943,5,88,112,,,22.4
1944,3,93,118,,,21.2
1945,0,108,99,,,13.6
1946,2,97,104,,,17.7
1947,1,101,122,,,10.9
1948,17,93,115,,,30.2
1949,3,89,109,146,,20
1950,7,118,138,161,,27.6
1951,12,92,122,,,29.3
1952,5,100,117,,,24.3
1953,2,76,122,153,,14.3
1954,1,94,113,164,,12.2
1955,4,90,107,,,22.4
1956,5,101,132,,,18.9
1957,0,60,114,149,,8.5
1958,1,53,100,142,,7.1
1959,0,60,110,153,,5.7
1960,3,95,121,153,,9.8
1961,0,59,111,,,3.9
2012,0,72,83,123,,23.4
2013,14,116,132,171,,38.2
2014,0,93,117,148,,16.5
2015,0,66,99,,,11.5
2016,0,51,97,138,,16.2
2017,0,59,98,,,18.9
2018,7.1,105,124,,,34.7
2019,22,105,117,,,40.5
2020,5,98,120,146,,10.5
